number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type
30,2,5,61,3,0
19,7,5,333,0,1
1,1,11,178,1,0
7,3,28,60,0,0
1,7,47,360,1,0
1,4,9,87,0,1
7,1,8,140,0,0
4,3,28,81,0,0
12,3,6,179,1,0
57,1,7,16,0,0
19,2,47,331,1,0
5,2,327,82,1,1
53,2,6,341,3,0
1,3,12,365,1,0
50,1,7,225,1,2
5,1,17,89,0,2
9,1,5,252,2,0
10,2,6,121,0,0
13,3,28,81,0,0
2,1,5,85,2,0
35,1,10,156,1,0
45,2,5,256,0,1
14,1,7,177,2,0
46,2,5,70,0,1
4,1,5,89,2,1
104,1,5,352,0,2
0,1,13,356,1,0
24,1,9,341,2,0
0,7,9,365,0,0
9,2,8,268,0,0
3,2,5,354,3,1
19,1,5,199,0,0
0,7,5,364,0,0
3,1,5,269,1,0
0,1,14,355,1,0
22,2,7,76,0,0
0,1,8,311,1,0
4,6,8,318,2,0
0,1,8,306,1,0
31,2,13,322,1,1
42,4,5,299,0,1
6,7,47,357,1,0
17,4,5,80,0,2
1,7,9,365,0,0
143,1,9,276,2,0
0,1,5,274,1,0
13,3,13,180,0,0
137,1,9,283,2,0
5,15,11,343,0,0
2,1,5,322,1,0
9,3,13,180,0,0
0,1,8,72,1,1
7,2,5,188,0,0
96,4,6,147,3,1
9,1,6,173,0,0
0,4,7,365,2,2
52,1,8,205,1,2
1,3,9,103,1,1
95,1,5,224,1,0
39,1,9,342,2,0
0,2,327,255,1,1
3,1,11,177,1,0
54,2,7,70,2,1
125,2,5,365,2,0
12,3,5,313,1,1
7,2,6,64,2,0
10,2,8,270,0,1
4,3,12,0,1,1
7,3,49,176,1,1
7,4,9,89,0,1
29,3,7,356,3,0
0,1,7,262,1,0
7,5,6,319,2,1
56,1,5,37,0,0
2,3,7,245,0,0
4,1,9,309,1,0
1,3,7,24,2,1
8,2,26,311,0,0
65,2,6,364,2,0
7,1,8,315,1,1
13,1,5,88,2,0
60,1,5,158,0,0
1,1,33,348,1,1
8,3,9,50,1,0
61,1,6,283,1,0
306,1,5,155,2,0
98,1,8,79,2,0
12,2,6,299,3,0
3,1,11,364,1,0
5,1,17,162,1,1
8,1,11,177,1,0
68,3,6,128,1,0
0,1,12,45,1,1
126,1,5,342,0,2
50,1,5,365,0,1
0,10,12,0,0,2
80,1,8,320,2,0
2,1,5,23,1,2
38,1,7,322,0,0
10,1,6,31,1,0
8,1,5,158,0,0
2,4,5,89,2,0
4,7,13,351,1,0
74,1,9,281,2,0
0,1,33,364,0,1
127,3,5,40,0,0
3,2,327,237,1,1
1,1,6,41,1,0
10,3,10,322,0,0
13,2,7,317,0,1
19,3,49,204,1,1
18,1,5,0,1,0
9,2,6,128,0,0
33,2,5,201,0,0
17,1,7,313,2,2
22,1,11,7,0,0
9,1,17,364,0,0
63,1,6,356,2,0
4,1,5,0,0,0
5,3,12,0,1,1
6,6,8,324,1,0
37,1,7,352,1,1
42,2,5,324,0,0
1,1,13,318,4,2
18,2,6,344,2,2
19,1,30,156,1,0
3,2,327,323,1,1
238,1,13,313,0,0
15,15,12,80,1,0
10,1,8,240,0,0
6,2,5,125,0,0
11,2,327,304,1,1
12,2,5,10,0,0
8,3,49,188,1,1
18,1,6,347,2,0
11,1,5,62,0,0
2,1,6,345,0,0
18,2,5,0,0,0
3,1,9,318,1,0
0,1,6,180,0,0
1,1,7,350,0,0
3,2,13,266,1,1
23,9,8,135,0,0
1,1,7,331,2,0
0,2,6,318,0,0
33,1,7,225,1,2
15,1,5,77,0,0
142,1,5,164,1,0
6,5,7,133,0,0
4,1,11,176,1,0
8,1,9,150,1,0
2,4,8,365,2,0
0,2,7,349,4,0
3,7,8,326,1,0
101,3,10,83,4,0
0,2,11,143,1,0
8,1,8,0,0,0
0,1,6,338,0,2
1,1,20,160,1,0
13,2,13,358,1,1
18,3,6,88,1,0
0,2,7,167,4,1
21,1,5,71,2,0
1,2,5,56,1,1
30,6,7,174,2,1
70,1,5,193,0,0
8,3,49,204,1,1
27,2,9,11,1,2
190,1,5,359,2,0
97,4,6,152,3,1
0,1,10,10,1,0
8,3,5,249,0,1
2,2,327,332,1,1
56,3,8,305,0,0
5,7,13,116,0,0
3,14,28,322,1,2
148,2,5,112,0,0
23,2,5,339,0,0
1,2,12,365,1,0
7,5,5,82,1,1
1,1,33,187,1,1
39,1,5,157,1,0
73,3,28,56,0,1
1,3,47,297,1,1
3,2,10,365,0,0
1,1,5,365,1,1
5,2,10,326,0,0
9,1,6,365,0,0
1,2,5,347,0,1
2,1,10,220,0,1
5,1,33,365,0,0
85,2,5,333,2,0
10,2,9,365,1,0
13,3,5,76,0,0
9,7,47,337,1,0
1,1,10,345,1,0
7,4,6,357,1,0
6,7,47,332,1,0
0,1,7,320,1,0
1,5,5,0,1,0
1,2,6,365,2,0
44,2,5,47,0,0
7,2,327,346,1,1
224,1,5,80,2,2
67,1,5,255,0,1
34,3,5,308,0,1
0,7,13,365,1,0
4,1,8,12,0,0
22,4,5,90,2,2
21,1,30,133,1,0
291,1,7,68,0,0
5,3,13,72,0,1
5,2,10,362,0,0
5,1,7,352,1,0
5,2,5,344,2,0
19,7,12,134,2,0
11,1,6,126,2,0
0,3,9,29,1,0
22,1,6,323,1,1
0,15,12,153,1,0
97,2,5,22,1,0
20,1,8,189,0,0
0,1,7,360,1,0
79,2,10,346,2,0
2,15,14,0,0,0
0,2,7,0,2,0
0,1,9,245,1,0
1,2,327,258,1,1
67,1,5,150,0,0
32,1,6,323,0,0
43,1,5,283,0,0
424,1,5,0,2,0
4,2,327,272,1,1
1,7,13,365,1,0
0,14,28,322,1,2
37,1,7,45,2,0
26,2,5,0,1,1
5,2,327,346,1,1
5,2,327,111,1,1
171,1,8,236,0,0
57,1,5,199,0,0
2,1,10,252,1,0
35,1,17,78,0,2
122,1,5,0,2,0
18,1,30,364,1,0
2,1,5,321,1,0
0,1,14,351,1,0
0,2,5,365,2,1
55,1,7,38,0,0
4,1,6,123,1,1
40,1,5,346,1,0
448,1,5,166,2,0
70,1,12,344,1,0
77,1,5,187,0,0
6,14,28,201,1,2
156,1,9,299,1,0
21,1,6,153,0,0
29,1,7,89,4,2
1,7,13,358,1,0
32,8,5,284,0,0
1,1,10,281,1,0
0,1,18,309,2,0
6,2,327,237,1,1
3,15,11,354,0,0
174,1,5,153,0,0
51,1,12,355,1,0
2,3,12,350,2,2
3,7,47,348,1,0
14,1,5,81,0,0
1,2,9,365,1,0
61,1,6,274,2,0
4,7,7,365,2,1
0,1,5,351,2,0
39,3,13,53,0,0
19,1,5,52,1,2
2,2,327,351,1,1
0,1,6,345,0,2
25,1,30,324,1,0
10,2,327,323,1,1
66,1,12,39,0,0
48,3,8,340,0,0
14,1,17,89,0,2
4,14,28,341,1,2
46,2,5,168,2,1
8,7,47,362,1,0
54,1,8,78,2,0
9,1,5,365,2,0
77,1,7,340,0,0
5,2,327,280,1,0
6,5,5,29,4,0
21,1,8,130,0,0
0,2,6,173,1,1
0,1,8,0,1,0
2,1,5,330,4,0
22,1,5,119,2,0
8,5,8,332,1,0
7,1,8,365,0,0
3,4,6,79,0,0
42,1,10,120,1,0
11,1,8,177,0,1
28,1,7,328,1,0
3,1,7,360,4,0
8,7,13,198,0,0
1,1,6,360,0,0
7,3,28,60,0,0
6,7,10,311,0,2
24,2,5,339,0,0
62,1,9,279,2,0
76,1,5,0,2,0
2,3,49,216,1,1
2,5,7,308,0,0
0,14,28,341,1,2
0,1,6,28,0,2
6,5,9,323,1,0
38,6,5,288,2,0
0,5,10,356,0,0
4,2,327,314,1,1
134,1,11,306,1,2
3,4,12,365,1,0
4,2,327,130,1,1
19,1,11,28,0,0
296,1,7,59,0,0
11,1,10,260,0,0
2,1,6,272,0,0
284,1,7,67,0,0
0,1,12,0,1,1
0,2,6,187,2,0
18,1,6,38,1,0
64,1,9,285,2,0
0,1,33,180,0,0
1,1,6,7,0,0
38,1,10,151,1,0
0,1,7,276,1,0
7,2,5,299,0,2
189,1,5,253,1,0
0,1,18,365,2,0
12,1,5,133,2,0
9,1,5,84,1,0
102,1,13,281,0,0
14,1,9,349,1,2
204,1,13,324,0,0
35,2,5,235,2,0
3,2,5,31,0,2
0,2,11,173,1,1
41,1,7,54,0,0
4,2,7,0,2,0
1,1,14,53,0,1
21,3,13,0,0,0
0,1,6,224,0,2
15,2,327,325,1,1
0,1,6,365,0,0
1,1,5,174,0,1
2,3,12,365,1,0
116,3,5,83,0,0
28,2,7,63,2,1
0,1,6,345,0,2
6,7,5,365,2,0
9,1,8,0,0,0
106,2,8,104,0,0
39,5,5,271,1,0
1,4,7,68,3,2
32,2,13,363,4,0
4,3,7,109,0,0
61,3,5,132,1,0
33,3,5,262,2,1
16,1,5,56,1,1
0,1,6,7,2,0
35,1,10,158,0,1
0,3,5,351,2,1
9,1,10,358,2,0
12,1,9,134,0,1
84,5,5,295,0,0
4,1,7,152,0,0
59,1,12,194,1,0
3,2,327,302,1,1
0,1,10,112,2,0
0,4,5,55,2,0
2,1,5,90,2,0
0,1,33,180,0,0
3,1,26,342,0,0
1,3,49,200,1,1
2,3,5,267,0,0
30,4,7,342,3,0
0,1,20,365,1,0
2,1,18,355,2,0
5,2,327,347,1,1
6,2,327,328,1,1
0,14,28,322,1,2
49,1,15,359,0,0
1,6,6,230,1,0
4,2,6,365,0,2
24,3,9,74,0,1
1,3,7,339,1,0
12,2,327,340,1,1
6,2,327,262,1,1
0,1,15,358,1,0
0,1,10,361,1,0
6,1,10,158,0,0
26,7,6,272,1,0
1,1,5,0,1,0
8,1,17,225,1,1
17,1,6,174,0,0
2,2,12,365,1,0
65,1,5,85,2,0
36,1,5,150,2,1
12,2,5,197,1,0
65,1,8,320,2,2
0,1,10,259,1,0
0,1,6,189,0,0
1,5,8,365,2,2
2,2,5,347,0,1
1,3,7,195,2,0
118,3,5,326,0,0
146,2,5,88,0,1
5,2,5,0,4,1
101,3,8,323,0,0
54,1,12,251,1,0
97,1,5,309,1,0
26,3,13,74,0,1
0,3,5,125,0,1
0,1,15,201,1,0
6,3,6,46,1,1
1,1,8,0,1,0
45,4,5,0,2,2
11,6,11,299,2,1
18,4,7,322,3,0
16,2,13,327,1,1
7,5,8,335,1,0
161,1,6,165,1,0
7,1,17,226,1,1
20,2,5,347,2,0
55,7,12,160,2,0
0,2,8,343,4,1
0,3,5,0,0,0
8,1,7,342,1,1
14,3,12,0,1,1
18,3,12,0,1,1
2,5,7,139,0,0
34,1,5,147,0,1
54,3,5,316,0,0
4,1,5,19,1,2
0,1,10,284,1,0
36,3,28,79,0,0
7,5,7,154,1,0
4,7,9,365,0,0
6,1,7,67,1,0
0,1,7,315,1,0
0,1,33,180,0,0
23,5,7,112,0,0
0,4,5,7,1,0
0,1,18,355,2,0
0,1,7,71,2,0
2,2,327,350,1,1
1,2,327,346,1,1
0,1,18,362,2,0
3,1,7,285,2,0
6,1,5,342,2,0
0,1,20,359,1,0
0,1,20,365,1,0
8,1,8,0,0,0
0,1,9,301,1,0
0,14,28,318,1,2
4,15,11,325,0,0
73,3,8,341,0,0
4,1,8,283,2,0
14,1,7,64,2,0
37,2,5,188,1,2
5,2,6,352,0,2
6,1,9,289,1,0
3,1,5,62,0,0
36,3,13,53,0,1
4,2,327,327,1,0
4,7,9,152,0,0
1,3,7,23,2,1
31,1,8,179,0,0
1,1,7,270,1,0
5,2,5,365,2,1
6,1,7,176,2,0
30,1,5,57,4,0
30,1,5,188,1,0
214,1,8,56,2,0
17,3,6,42,1,0
0,1,10,271,1,0
0,2,7,177,4,0
0,3,6,232,2,1
0,1,18,360,2,0
0,1,10,333,1,0
257,1,6,351,2,0
8,1,6,308,2,2
39,1,5,84,2,0
17,6,8,365,2,0
3,2,8,343,0,2
21,2,5,90,2,1
36,1,8,189,0,0
191,1,6,336,2,0
1,1,14,349,1,0
258,1,13,320,0,0
14,1,5,310,2,0
1,1,8,343,2,2
5,2,6,306,2,0
1,3,5,305,0,0
143,1,5,221,1,0
4,2,11,354,1,1
1,14,28,322,1,2
20,2,13,242,1,1
11,3,5,0,0,0
2,7,9,131,0,0
0,1,8,320,2,0
2,1,30,363,1,0
57,2,6,144,0,1
3,1,5,349,0,0
77,1,6,365,2,0
66,5,12,141,2,0
10,2,8,344,2,2
45,1,8,34,1,1
24,2,10,359,2,0
2,1,11,179,1,0
0,1,13,312,1,0
4,1,8,359,0,0
5,3,6,249,1,1
0,1,13,351,1,0
29,1,10,245,1,0
99,2,8,77,0,0
2,3,12,365,1,0
11,4,7,337,3,0
4,3,49,204,1,1
7,1,10,115,1,0
15,1,8,267,2,1
14,1,5,55,0,1
10,1,5,0,1,0
168,1,13,309,0,0
26,2,6,180,2,0
6,1,6,365,1,2
2,2,327,260,1,1
3,1,5,318,1,0
13,7,6,310,1,0
0,1,15,232,1,0
2,14,12,86,1,1
257,1,13,286,0,0
0,1,8,319,1,0
3,1,30,360,1,0
30,2,5,359,0,0
3,3,49,204,1,1
56,1,6,326,1,0
15,2,8,344,0,0
9,1,34,365,0,2
0,1,13,358,1,0
141,1,5,209,1,0
150,1,9,323,2,0
32,1,5,359,2,0
9,2,327,277,1,1
2,1,20,352,1,0
54,1,6,117,1,1
14,1,6,121,2,0
1,3,5,270,1,0
0,1,12,0,0,1
3,6,7,187,0,0
25,2,7,349,0,0
11,1,8,0,0,0
0,4,8,0,1,1
2,2,327,291,1,1
18,1,26,250,0,0
62,1,5,351,1,0
1,3,8,252,1,0
2,1,6,90,2,0
16,1,12,217,1,0
3,3,5,365,0,0
15,1,9,89,1,0
1,7,9,365,0,0
6,1,9,175,1,2
6,1,8,70,1,1
4,7,47,336,1,0
5,2,327,255,1,0
107,2,5,268,0,0
15,2,5,4,0,0
5,2,26,309,0,0
6,1,7,343,0,0
0,3,6,41,2,0
33,3,28,60,0,1
30,3,6,1,1,0
2,4,5,16,1,0
27,2,10,359,0,0
7,1,5,85,2,0
1,1,6,365,1,1
6,2,327,343,1,1
59,3,28,60,0,1
20,1,30,359,1,0
20,4,5,133,2,0
20,1,9,343,2,2
38,2,6,365,2,0
2,1,7,362,1,2
0,1,7,359,1,0
24,1,7,45,0,0
29,2,5,0,0,0
0,1,9,317,1,0
19,2,7,360,0,0
29,1,5,48,4,0
0,3,49,206,1,1
23,2,13,329,1,0
5,4,5,365,0,0
2,1,10,365,0,0
6,1,6,361,2,2
0,1,5,0,0,0
100,1,8,342,2,0
151,1,10,357,1,0
4,1,9,364,1,2
1,2,6,364,0,0
6,1,5,336,1,0
116,3,28,36,0,1
17,4,7,303,0,0
13,1,5,114,2,1
0,1,8,317,1,0
53,1,7,264,0,0
6,2,327,328,1,1
0,1,33,364,1,1
2,2,7,312,3,2
7,3,5,213,1,0
89,3,28,62,0,1
153,1,11,271,1,0
28,5,5,365,2,0
16,5,6,15,1,0
4,1,17,89,0,2
12,3,5,107,1,1
6,1,8,88,1,0
18,1,5,0,0,0
0,7,6,365,0,2
20,1,5,365,1,2
69,1,12,232,1,0
42,2,6,87,0,1
2,1,7,0,1,0
1,2,327,315,1,1
54,2,10,360,2,0
0,4,6,29,0,0
8,2,327,273,1,1
2,1,15,359,1,0
7,1,17,218,1,1
1,1,11,178,1,0
42,2,5,47,0,0
6,2,5,224,0,0
9,2,327,271,1,1
0,1,7,79,2,0
0,1,33,365,0,0
0,2,10,365,0,0
2,1,5,90,0,0
22,2,6,308,0,0
0,3,6,8,2,1
2,2,327,273,1,1
2,3,5,0,0,0
19,1,8,177,0,0
3,2,6,347,2,0
17,1,8,198,1,2
459,1,5,175,2,0
27,2,13,246,1,1
20,1,17,354,0,0
2,3,6,188,2,1
412,1,5,159,2,0
97,2,8,83,0,0
55,3,5,156,1,0
9,2,327,346,1,1
22,1,9,319,1,0
128,1,5,278,2,0
62,2,9,3,1,2
39,1,6,364,0,0
76,2,6,120,0,2
2,1,9,324,1,0
2,14,8,317,2,0
0,2,11,152,1,1
0,1,20,365,1,0
0,2,5,363,2,0
8,3,5,0,0,0
1,3,13,74,0,1
22,1,5,334,1,1
8,2,7,37,3,0
5,1,10,158,0,0
6,8,5,0,0,0
0,3,7,177,4,0
56,1,5,361,2,0
1,1,7,198,1,0
58,3,6,129,1,0
24,2,7,330,0,0
0,1,33,365,0,2
21,1,12,256,1,0
17,1,7,0,2,0
0,1,5,329,0,0
0,4,6,150,2,0
15,2,13,286,1,1
0,1,15,292,1,0
176,1,11,248,1,0
146,1,12,352,1,0
30,2,13,333,1,0
9,7,47,324,1,0
22,1,6,0,2,0
327,1,7,41,0,0
9,2,34,312,0,0
21,2,5,90,2,2
2,1,5,361,2,0
35,2,9,9,1,2
0,2,7,267,0,1
147,2,6,0,3,0
18,1,5,48,1,2
7,2,26,318,0,0
12,1,8,0,0,0
1,1,7,328,1,0
46,2,10,360,0,0
3,2,5,342,0,1
4,1,7,71,4,2
7,2,327,265,1,1
49,2,5,76,1,0
1,1,7,339,1,0
89,5,6,322,0,0
38,2,5,301,2,0
3,1,5,0,0,0
57,1,6,154,1,1
0,1,33,365,0,0
8,1,7,96,2,0
30,2,10,322,0,0
89,1,10,0,0,0
47,1,5,354,0,2
51,1,5,1,1,1
10,4,8,340,3,0
5,2,327,315,1,1
7,2,327,338,1,1
3,3,12,365,1,0
16,1,7,0,4,2
15,1,34,365,0,2
79,5,12,153,1,1
8,10,5,153,0,0
29,3,13,90,0,0
1,2,5,0,1,0
0,1,33,364,0,1
8,2,327,108,1,1
1,3,12,365,1,0
4,3,9,361,2,0
115,1,6,164,0,0
9,2,13,263,1,0
2,1,33,179,1,1
52,3,6,150,0,1
0,1,9,278,1,0
145,1,12,342,1,0
7,2,327,253,1,1
0,3,12,365,1,0
31,1,5,188,1,1
20,1,5,38,2,0
9,1,6,204,2,0
5,3,12,0,1,1
9,2,327,332,1,1
0,1,7,348,1,0
8,2,5,0,2,0
89,1,6,256,2,0
10,1,6,169,2,0
0,1,20,359,1,0
1,1,9,365,1,0
4,3,13,85,0,0
12,1,5,287,1,0
7,2,327,328,1,1
51,2,6,176,0,0
251,1,7,69,0,0
7,5,8,365,0,2
12,7,47,354,1,0
7,1,7,33,1,2
0,3,5,18,1,0
4,1,7,64,4,2
29,2,5,0,1,0
22,1,7,59,2,0
6,7,47,321,1,0
54,2,5,189,2,0
24,1,5,168,2,0
8,1,6,173,0,0
1,1,5,294,1,0
2,2,8,28,0,2
9,1,7,180,0,0
20,1,5,125,0,0
40,1,7,0,2,1
2,12,7,130,0,0
7,1,6,180,0,2
32,2,5,126,2,0
3,1,10,306,0,0
1,1,20,363,1,0
67,3,10,349,2,0
60,1,10,302,0,0
5,7,47,352,1,0
0,2,6,351,1,0
92,5,5,148,0,0
19,1,5,289,0,0
3,1,10,133,1,1
19,2,6,356,2,0
0,1,5,359,2,0
15,2,327,254,1,1
39,1,5,22,1,2
2,3,12,361,2,2
8,2,5,32,0,2
13,1,7,331,1,0
2,7,13,358,1,0
3,2,5,167,0,0
107,2,8,84,0,0
123,1,5,0,2,0
20,5,6,244,1,0
4,1,6,365,1,1
1,3,9,92,1,1
3,1,7,126,1,1
0,3,12,360,2,2
10,1,5,0,1,0
0,1,9,298,1,0
5,7,47,352,1,0
10,2,5,158,0,0
9,2,5,163,2,1
0,2,7,150,0,0
21,2,5,343,0,0
8,1,5,297,2,1
4,5,6,272,1,0
1,1,9,317,1,0
13,2,327,341,1,1
22,1,9,283,1,0
32,1,5,28,2,0
112,1,8,84,2,0
50,6,7,343,2,1
7,1,6,207,2,0
1,1,6,9,0,1
32,1,7,7,0,0
40,1,10,293,0,0
0,1,8,0,1,0
2,1,7,300,1,0
12,6,11,65,2,0
31,2,5,0,0,0
4,1,6,365,1,2
14,2,8,261,0,0
1,7,9,106,0,0
8,1,9,118,0,1
9,1,9,275,1,0
6,2,327,332,1,0
43,2,7,58,0,0
23,1,12,362,1,0
0,3,10,75,4,0
10,1,6,163,2,0
4,7,13,282,0,0
8,1,6,255,2,1
16,1,6,365,2,2
3,3,49,196,1,1
4,2,7,347,0,0
4,2,13,283,1,1
35,1,5,79,2,0
0,1,8,359,2,0
9,1,6,105,0,0
0,6,5,219,1,0
0,3,5,18,1,0
0,1,8,321,1,0
22,4,34,309,0,1
5,2,6,340,2,0
113,1,5,292,1,0
47,2,5,173,2,0
9,2,327,317,1,1
0,1,10,95,2,0
0,1,10,327,1,0
38,2,7,66,0,0
21,3,9,357,2,0
14,1,7,163,2,0
16,1,34,346,0,2
11,15,5,179,0,1
11,1,9,118,0,1
0,1,33,365,0,0
15,2,34,306,0,0
1,3,12,365,1,0
10,3,6,62,1,0
92,1,7,11,0,0
41,1,9,322,2,0
2,7,9,58,0,0
164,1,11,356,0,0
11,2,8,73,1,0
0,1,15,359,1,0
1,3,49,222,1,1
23,3,28,60,0,1
0,4,5,334,2,2
9,2,327,262,1,1
0,1,7,293,1,0
86,1,8,335,2,0
8,1,5,74,2,0
134,1,6,249,2,1
41,2,5,169,1,1
116,1,5,271,1,1
89,1,8,164,2,0
2,3,12,327,2,2
10,1,5,97,1,1
51,3,12,96,2,0
27,3,7,225,0,0
34,1,5,133,0,1
3,1,5,23,1,2
2,3,49,235,1,1
33,1,17,85,0,2
103,1,10,365,1,0
12,3,12,365,1,0
129,1,10,255,0,1
9,1,5,363,1,2
26,6,5,299,2,0
15,3,13,365,0,0
124,1,7,73,0,2
31,3,5,362,4,0
0,1,6,19,1,2
112,3,8,330,0,0
2,3,12,365,1,0
20,1,7,177,0,0
22,1,9,315,1,0
10,4,7,323,3,0
20,1,6,285,0,0
3,3,49,153,1,1
3,7,13,296,0,0
0,1,14,336,1,0
21,1,5,252,0,0
82,1,17,355,0,0
1,1,10,136,2,0
5,7,47,356,1,0
2,3,8,365,0,0
26,4,7,359,3,0
9,1,6,170,0,0
0,3,12,360,2,2
11,2,327,329,1,1
8,2,8,358,0,2
0,2,8,320,0,1
28,3,9,359,2,0
13,1,9,358,2,0
8,1,6,365,0,0
0,1,6,290,1,0
0,4,6,0,3,1
29,3,9,46,0,1
