number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type
11,1,5,309,0,0
5,2,327,62,1,1
0,2,5,365,2,0
1,7,47,338,1,0
9,2,327,284,1,1
21,1,34,365,0,2
4,2,327,242,1,1
0,2,5,358,0,0
100,4,6,113,0,0
38,15,5,311,2,0
59,1,6,314,1,2
189,1,11,245,1,0
14,2,327,81,1,1
7,2,327,309,1,1
33,1,9,365,2,0
4,2,327,232,1,1
3,5,8,345,1,0
12,1,7,180,2,0
13,2,34,330,0,0
83,1,12,55,0,0
12,1,5,87,2,0
6,1,5,324,1,1
93,2,5,202,0,0
62,5,12,174,2,0
0,1,10,275,1,0
3,1,5,318,2,0
34,3,13,74,0,0
16,1,7,81,2,1
0,1,8,0,1,1
3,7,47,324,1,0
1,2,327,357,1,1
13,1,17,89,0,2
10,1,17,364,0,0
0,1,13,344,1,0
5,3,9,72,0,1
0,2,11,365,1,0
17,1,7,72,1,2
4,1,9,260,1,0
64,1,7,278,0,0
33,3,8,356,0,1
81,1,8,192,1,2
29,2,10,356,0,0
2,11,12,0,0,2
1,1,9,324,1,0
2,2,327,315,1,1
92,2,5,311,4,0
1,1,10,365,0,0
13,1,34,365,0,2
1,1,5,364,1,1
0,1,6,364,1,1
4,1,9,317,1,0
17,1,7,0,2,0
29,1,6,180,0,0
142,2,5,0,0,0
1,2,327,319,1,1
72,5,5,322,0,0
26,4,8,315,3,0
54,5,5,353,0,0
0,5,5,362,4,0
41,2,13,365,4,0
27,1,6,133,2,0
179,1,11,243,1,0
98,1,8,189,2,0
8,5,5,22,4,0
58,1,5,75,2,0
12,1,5,226,2,0
2,1,6,151,0,0
5,14,28,341,1,2
1,1,5,335,1,1
2,1,10,365,1,0
0,1,8,0,1,1
2,2,6,364,0,0
38,2,6,85,0,0
69,2,6,327,0,1
0,1,8,298,2,0
115,2,6,280,2,0
4,3,49,249,1,1
1,5,6,185,0,0
25,2,6,173,1,0
5,2,5,319,2,0
22,1,7,83,1,2
65,1,12,30,0,0
7,4,5,0,0,0
1,2,6,0,2,0
6,1,7,351,1,0
0,2,7,169,0,0
34,3,8,341,0,0
24,2,7,0,2,0
3,1,18,319,2,0
2,4,6,119,1,0
45,5,5,355,0,0
95,2,8,327,2,0
92,2,6,79,2,0
11,1,10,300,1,1
1,1,10,298,0,0
1,1,5,310,1,0
2,9,12,0,0,2
15,2,327,261,1,1
13,1,5,281,2,0
0,1,10,343,1,0
86,2,7,316,0,0
0,1,5,0,0,1
14,2,327,323,1,1
38,1,9,295,1,0
40,7,5,148,2,0
3,1,5,0,1,0
38,1,7,47,2,0
10,1,8,275,2,0
10,1,9,357,2,0
20,1,6,0,0,1
16,1,34,365,0,2
18,3,13,79,0,0
20,1,9,348,1,2
0,1,33,179,0,0
3,1,5,85,2,0
0,1,8,318,1,0
9,1,10,338,1,1
18,1,8,297,2,0
2,2,327,331,1,1
2,5,9,89,0,0
32,2,5,63,1,0
0,2,11,206,1,1
0,1,17,208,1,1
15,2,327,260,1,1
11,1,5,365,4,0
4,1,26,365,0,0
4,2,5,39,1,1
0,2,11,199,1,1
7,2,7,272,0,0
19,1,6,360,0,0
7,1,12,0,0,0
6,2,5,31,0,2
3,1,14,365,1,0
0,1,10,341,2,1
88,1,7,248,0,0
5,5,12,0,0,2
42,1,6,290,1,0
16,1,7,180,0,0
210,1,12,321,1,0
255,1,5,175,2,0
17,1,7,319,4,2
10,2,327,354,1,1
4,2,11,180,1,0
48,1,9,351,2,0
18,1,7,60,4,2
1,3,6,353,1,2
5,2,12,365,1,0
3,1,10,112,2,0
115,1,5,76,2,0
31,6,8,147,0,0
8,2,327,318,1,1
13,1,7,264,0,0
99,1,9,341,2,0
1,12,5,89,0,0
17,1,9,324,1,0
41,1,6,340,2,0
3,3,6,90,1,0
4,1,17,215,1,1
0,1,5,21,2,1
7,1,5,0,1,0
5,3,9,0,1,0
32,1,6,0,0,1
20,1,5,343,4,0
1,4,5,188,1,0
8,2,327,349,1,1
170,1,5,165,0,0
8,2,327,357,1,1
0,1,8,309,1,0
14,1,8,127,0,0
24,2,34,340,0,0
5,1,8,348,0,0
0,1,9,298,1,1
4,3,6,90,1,0
73,1,9,279,2,0
52,1,8,250,2,0
38,2,6,158,0,0
1,1,18,180,2,0
30,2,34,310,0,0
11,2,34,282,0,0
8,1,6,138,0,0
2,1,10,134,2,0
9,1,5,188,1,0
83,1,6,171,2,0
92,1,6,362,2,0
34,2,5,29,0,0
104,1,5,36,0,0
28,1,9,346,2,0
4,2,5,355,3,0
11,1,17,364,0,0
51,2,9,5,1,2
16,1,30,363,1,0
11,3,7,330,0,0
21,2,8,321,0,0
1,2,9,335,1,0
172,2,5,136,0,1
52,1,11,42,0,0
28,2,6,68,0,0
33,2,9,10,1,2
21,7,5,297,2,0
3,1,10,120,2,0
0,1,8,319,2,0
1,1,18,365,2,0
1,3,12,365,1,0
0,6,7,363,2,1
2,3,47,352,1,1
0,1,5,359,2,0
0,1,8,323,1,1
105,1,8,140,2,0
60,1,8,53,2,0
127,1,15,318,0,0
19,1,7,53,0,0
77,3,10,65,4,0
23,5,6,216,2,0
11,1,5,262,0,1
23,1,5,204,0,0
17,1,7,83,4,2
48,1,6,3,0,0
2,1,47,361,1,0
8,3,5,110,0,1
2,1,8,351,2,2
4,1,9,7,0,1
255,1,5,154,2,0
6,1,7,365,0,0
8,2,6,75,2,0
2,7,12,0,0,2
7,2,8,189,0,0
3,1,6,6,0,0
8,7,47,310,1,0
0,2,327,289,1,1
11,2,327,355,1,1
75,1,8,106,2,0
0,1,8,341,2,0
1,1,30,362,1,0
1,14,28,320,1,2
22,2,7,71,0,0
184,1,5,362,0,0
